profile_id,platform_number,project_name,pi_name,cycle_number,direction,data_centre,dc_reference,data_state_indicator,data_mode,platform_type,float_serial_no,firmware_version,wmo_inst_type,juld,juld_qc,juld_location,latitude,longitude,position_qc,positioning_system,vertical_sampling_scheme,config_mission_number,profile_pres_qc,profile_temp_qc,profile_psal_qc,date,level,pres,pres_adjusted,pres_adjusted_error,temp,temp_adjusted,temp_adjusted_error,psal,psal_adjusted,psal_adjusted_error,pres_qc,pres_adjusted_qc,temp_qc,temp_adjusted_qc,psal_qc,psal_adjusted_qc
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,181,366.0,365.7200012207031,None,11.048999786376953,11.048999786376953,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,182,368.0,367.7200012207031,None,11.008999824523926,11.008999824523926,None,35.04800033569336,35.04800033569336,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,183,370.0,369.7200012207031,None,11.001999855041504,11.001999855041504,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,156,316.0,315.7200012207031,None,11.350000381469727,11.350000381469727,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,184,372.0,371.7200012207031,None,10.989999771118164,10.989999771118164,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,155,314.0,313.7200012207031,None,11.357999801635742,11.357999801635742,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,153,310.0,309.7200012207031,None,11.361000061035156,11.361000061035156,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,126,256.0,255.72000122070312,None,11.70300006866455,11.70300006866455,None,35.05500030517578,35.05500030517578,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,127,258.0,257.7200012207031,None,11.680000305175781,11.680000305175781,None,35.05400085449219,35.05400085449219,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,128,260.0,259.7200012207031,None,11.654999732971191,11.654999732971191,None,35.051998138427734,35.051998138427734,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,129,262.0,261.7200012207031,None,11.638999938964844,11.638999938964844,None,35.05099868774414,35.05099868774414,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,130,264.0,263.7200012207031,None,11.609999656677246,11.609999656677246,None,35.04999923706055,35.04999923706055,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,131,266.0,265.7200012207031,None,11.571000099182129,11.571000099182129,None,35.04899978637695,35.04899978637695,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,132,268.0,267.7200012207031,None,11.555999755859375,11.555999755859375,None,35.04800033569336,35.04800033569336,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,133,270.0,269.7200012207031,None,11.553999900817871,11.553999900817871,None,35.04800033569336,35.04800033569336,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,134,272.0,271.7200012207031,None,11.541000366210938,11.541000366210938,None,35.04800033569336,35.04800033569336,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,135,274.0,273.7200012207031,None,11.53600025177002,11.53600025177002,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,136,276.0,275.7200012207031,None,11.534000396728516,11.534000396728516,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,137,278.0,277.7200012207031,None,11.529999732971191,11.529999732971191,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,138,280.0,279.7200012207031,None,11.524999618530273,11.524999618530273,None,35.047000885009766,35.047000885009766,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,139,282.0,281.7200012207031,None,11.506999969482422,11.506999969482422,None,35.04600143432617,35.04600143432617,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,140,284.0,283.7200012207031,None,11.493000030517578,11.493000030517578,None,35.04499816894531,35.04499816894531,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,141,286.0,285.7200012207031,None,11.484999656677246,11.484999656677246,None,35.04399871826172,35.04399871826172,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,142,288.0,287.7200012207031,None,11.468000411987305,11.468000411987305,None,35.042999267578125,35.042999267578125,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,143,290.0,289.7200012207031,None,11.449999809265137,11.449999809265137,None,35.042999267578125,35.042999267578125,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,144,292.0,291.7200012207031,None,11.434000015258789,11.434000015258789,None,35.04199981689453,35.04199981689453,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,145,294.0,293.7200012207031,None,11.420000076293945,11.420000076293945,None,35.04199981689453,35.04199981689453,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,146,296.0,295.7200012207031,None,11.416999816894531,11.416999816894531,None,35.04199981689453,35.04199981689453,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,147,298.0,297.7200012207031,None,11.416999816894531,11.416999816894531,None,35.04199981689453,35.04199981689453,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,148,300.0,299.7200012207031,None,11.404999732971191,11.404999732971191,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,149,302.0,301.7200012207031,None,11.385000228881836,11.385000228881836,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,150,304.0,303.7200012207031,None,11.37399959564209,11.37399959564209,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,151,306.0,305.7200012207031,None,11.369000434875488,11.369000434875488,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,152,308.0,307.7200012207031,None,11.36299991607666,11.36299991607666,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,154,312.0,311.7200012207031,None,11.359999656677246,11.359999656677246,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,185,374.0,373.7200012207031,None,10.960000038146973,10.960000038146973,None,35.04399871826172,35.04399871826172,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,186,376.0,375.7200012207031,None,10.935999870300293,10.935999870300293,None,35.042999267578125,35.042999267578125,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,187,378.0,377.7200012207031,None,10.92199993133545,10.92199993133545,None,35.04199981689453,35.04199981689453,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,220,444.0,443.7200012207031,None,10.3149995803833,10.3149995803833,None,35.04199981689453,35.04199981689453,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,221,446.0,445.7200012207031,None,10.293000221252441,10.293000221252441,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,222,448.0,447.7200012207031,None,10.255999565124512,10.255999565124512,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,223,450.0,449.7200012207031,None,10.23799991607666,10.23799991607666,None,35.04100036621094,35.04100036621094,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,224,452.0,451.7200012207031,None,10.229999542236328,10.229999542236328,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,225,454.0,453.7200012207031,None,10.223999977111816,10.223999977111816,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,226,456.0,455.7200012207031,None,10.223999977111816,10.223999977111816,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,227,458.0,457.7200012207031,None,10.222999572753906,10.222999572753906,None,35.040000915527344,35.040000915527344,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,162,b'A',AO,None,None,b'A',None,None,None,None,25786.701145854026,b'1',25786.712152798973,1.4,90.914,b'1',None,None,162,b'A',b'A',b'A',2020-08-07 16:49:39,228,460.0,459.7200012207031,None,10.206999778747559,10.206999778747559,None,35.03900146484375,35.03900146484375,None,b'1',b'1',b'1',b'1',b'1',b'1'
