profile_id,platform_number,project_name,pi_name,cycle_number,direction,data_centre,dc_reference,data_state_indicator,data_mode,platform_type,float_serial_no,firmware_version,wmo_inst_type,juld,juld_qc,juld_location,latitude,longitude,position_qc,positioning_system,profile_pres_qc,profile_temp_qc,profile_psal_qc,vertical_sampling_scheme,config_mission_number,date,level,pres,pres_adjusted,temp,temp_adjusted,psal,psal_adjusted,pres_adjusted_error,temp_adjusted_error,psal_adjusted_error,pres_qc,pres_adjusted_qc,temp_qc,temp_adjusted_qc,psal_qc,psal_adjusted_qc
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,454,912.0,912.3400268554688,1.8009999990463257,1.8009999990463257,34.729000091552734,34.729000091552734,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,455,914.0,914.3400268554688,1.8040000200271606,1.8040000200271606,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,456,916.0,916.3400268554688,1.805999994277954,1.805999994277954,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,457,918.0,918.3400268554688,1.8020000457763672,1.8020000457763672,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,458,920.0,920.3400268554688,1.7970000505447388,1.7970000505447388,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,459,922.0,922.3400268554688,1.7879999876022339,1.7879999876022339,34.729000091552734,34.729000091552734,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,460,924.0,924.3400268554688,1.784000039100647,1.784000039100647,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,461,926.0,926.3400268554688,1.781000018119812,1.781000018119812,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,462,928.0,928.3400268554688,1.7790000438690186,1.7790000438690186,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,463,930.0,930.3400268554688,1.7760000228881836,1.7760000228881836,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,464,932.0,932.3400268554688,1.774999976158142,1.774999976158142,34.72999954223633,34.72999954223633,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,451,906.0,906.3400268554688,1.8049999475479126,1.8049999475479126,34.72800064086914,34.72800064086914,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,994,1992.0999755859375,1992.43994140625,0.9929999709129333,0.9929999709129333,34.71900177001953,34.71900177001953,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
0,None,None,None,275,b'A',CS,None,None,b'A',None,None,None,None,25715.199467592407,b'1',25715.2111111111,-59.845,114.695,b'1',None,b'A',b'A',b'A',None,1,2020-05-28 04:47:13,373,750.0,750.3400268554688,1.9229999780654907,1.9229999780654907,34.71500015258789,34.71500015258789,None,None,None,b'1',b'1',b'1',b'1',b'1',b'1'
